name,registration_code,vat,address,phone,email,website,manager,company_type,status,registration_date,share_capital,employees,activities,description,url
"HRX, UAB",,,"Vilties g. 15, Kuprioniškių k., LT-13279 Vilniaus r",,,,,,,,,,transportation; mail services,Freight Transportation,https://rekvizitai.vz.lt/en/company/hres/
"NNL LT, UAB",,,"Marijampolės g. 27, Pagirių k., LT-53283 Kauno r",,,,,,,,,,warehouses; freight forwarding; logistics services; transportation,,https://rekvizitai.vz.lt/en/company/nnl_lt_uab/
"UAB ""LINĖJA transport""",,,"Didžioji g. 38, LT-57257 Kėdainiai",,,,,,,,,,"transportation; freight forwarding; logistics services; truck sales, parts, service","Transport services:Full loadsPartial loadsOversized cargoBulk cargoThe main freight directions:LT – LTBaltic States – PL – Baltic StatesLT – Baltic States – LTBaltic States – Western Europe – Baltic StatesAbout us:We are purposefully expanding, innovative and impetuous, freight forwarding company. Since 2011...",https://rekvizitai.vz.lt/en/company/lineja_transport/
"Delca logistic, UAB",,,"Gėlyno g. 10, Aleksandravo k., LT-68100 Marijampolė",,,,,,,,,,transportation; car transportation; freight forwarding; logistics services,"CAR TRANSPORTATION SERVICES AND LOGISTICS SOLUTIONSWe provide logistics and transportation services in Lithuania and throughout the European Union.By utilizing modern IT solutions and constant fleet renewal, we provide a guaranteed & safe car transportation. Exceptional attention to individual clients and business...",https://rekvizitai.vz.lt/en/company/delca_logistic/
"UAB ""Wolfturas express""",,,"Jūrininkų pr. 3-112, LT-95169 Klaipėda",,,,,,,,,,"transportation; buses, minibuses for rent; car rental; logistics services; mail services; other activities; passenger transport","Wolfturas Express, UAB – keliautiliux.ltA company providing transportation services, passenger transport, and parcel delivery.We also offer bus and minibus rental services.We transport passengers from Klaipėda to Vilnius, Riga, and Kaunas airports and back.Upon request, passengers can be picked up directly from...",https://rekvizitai.vz.lt/en/company/wolfturas_express/
"Senukai, UAB",,,"Jonavos g. 62, LT-44192 Kaunas",,,,,,,,,,transportation; logistics services,,https://rekvizitai.vz.lt/en/company/senukai/
"Baltic transline, UAB",,,"R. Kalantos g. 49, LT-52303 Kaunas",,,,,,,,,,"transportation; customs services, customs; export; import; logistics services; mediation; rail transport; warehouses; water transport","Baltic transline UAB is an international haulage company, a part of BTL Group. Over 23 years of operation, the company has gained recognition by its customers and became one of the most successful and rapidly growing companies in Lithuania.The company employs a staff of over 1725 professionals of the field. Modern...",https://rekvizitai.vz.lt/en/company/baltic_transline_uab/
"UAB ""Transaulita""",,,"Lentvario g. 33, LT-02241 Vilnius",,,,,,,,,,"logistics services; customs services, customs; freight forwarding; transportation",,https://rekvizitai.vz.lt/en/company/uab_transaulita/
"Continexus, UAB",,,"Jotvingių g. 9, LT-02119 Vilnius",,,,,,,,,,"transportation; customs services, customs; export; freight forwarding; logistics services; warehouses","Our mission is to be a reliable partner for those seeking effective collaboration and long-term partnerships. Our activities are based on core values such as responsibility, ambition, loyalty, and respect for the client.Continexus, UAB offers its clients global logistics services. Every day, we transport small...",https://rekvizitai.vz.lt/en/company/continexus/
"United Transline, UAB",,,"Gedimino g. 54, LT-72336 Tauragė",,,,,,,,,,"transportation; car transportation; freight forwarding; logistics services; truck sales, parts, service",,https://rekvizitai.vz.lt/en/company/united_transline/
"UAB ""CargoJob LT""",,,"Radvilų Dvaro g. 4-1, LT-48320 Kaunas",,,,,,,,,,"labour exchange, employment; recruitment; transportation",,https://rekvizitai.vz.lt/en/company/cargojob_lt/
"Transporto sprendimai, MB",,,"Eišiškių Sodų 1-oji g. 15, LT-02194 Vilnius",,,,,,,,,,"transportation; building services; demolition, drilling; machinery, equipment, rental",,https://rekvizitai.vz.lt/en/company/transporto_sprendimai/
SĮ „Susisiekimo paslaugos“,,,"Laisvės pr. 10A, LT-04215 Vilnius",,,,,,,,,,municipalities; information supply; parking; transportation,,https://rekvizitai.vz.lt/en/company/susisiekimo_paslaugos_si/
"Technologijų era, UAB",,,"Veiverių g. 142, Kaunas",,,,,,,,,,mail services; export; import; logistics services; transportation,,https://rekvizitai.vz.lt/en/company/technologiju_era/
"Saurida, UAB",,,"Montuotojų g. 8, LT-89101 Mažeikiai",,,,,,,,,,"heating, equipment; energetics, alternative energetics; firewood; fuel, oil products, petrol stations; furniture (trade); gas, gas equipment; plumbing; real estate; retail; transportation; ventilation and conditioning services; wholesale",,https://rekvizitai.vz.lt/en/company/saurida/
"Vykom, UAB",,,"Savanorių pr. 363, LT-51480 Kaunas",,,,,,,,,,car transportation; freight forwarding; logistics services; transportation,"ABOUT USEstablished in 2005, Vykom UAB has been successfully providing transportation services across Eastern and Western Europe, Far East and Scandinavia for over a decade now. We have dedicated all this time to significant expansion of our vehicle fleet and training of our employees who have become highly...",https://rekvizitai.vz.lt/en/company/vykom/
"Pigu perku group, UAB",,,"Europos pr. 96, Kaunas",,,,,,,,,,mediation; import; mail services; transportation; warehouses,"PirkEU.lt - a parcel forwarding service. You can shop in the Germany, France, Italy, United Kingdom, Poland and have packages forwarded to you in Lithuania.PPtransport.lt - international cargo transportation services. Providing express delivery services in whole Europe. Our trucks are equipted with tail lifts wich...",https://rekvizitai.vz.lt/en/company/pigu_perku/
"Baltic Logistic Solutions, UAB",,,"Alšėnų g. 10, Kampiškių k., Kauno r",,,,,,,,,,logistics services; freight forwarding; transportation; warehouses,Baltic Logistic Solutions is one of the largest and most stable logistics companies in the Baltic States. Our logistic centres meet the highest quality standards and are strategically set up in the most convenient locations in the region. Our developed distribution network allows companies to transport products...,https://rekvizitai.vz.lt/en/company/baltic_logistic_solutions/
"TWB LOGISTICS, UAB",,,"Servečės g. 1, LT-02121 Vilnius",,,,,,,,,,"freight forwarding; air transport, aviation; customs services, customs; logistics services; mail services; transportation; warehouses; water transport",Logistics is what we know best!Transport Logistics Company TWB Logistics is your single source provider of all cargo transportation and storage services. We are an innovative logistics company; we understand that each customer is unique and requires individual cargo transportation solutions. The certified...,https://rekvizitai.vz.lt/en/company/twb_logistics/
"Šilėja, UAB",,,"Ukmergės g. 222, LT-07157 Vilnius",,,,,,,,,,"building administration; cleaning services; doors, locks, keys; electroinstallation works; landscaping; pipework equipment, wastewater treatment; plumbing; public utilities; thermal insolation, renovation; transportation; windows",,https://rekvizitai.vz.lt/en/company/sileja/
"Eisturas, UAB",,,"Marijos Giedraitienės g. 3, Vaivadai, LT-38448 Panevėžio r",,,,,,,,,,"buses, minibuses for rent; passenger transport; tourism, travels, services; transportation","Passenger transportation in Panevezys, Lithuania, Europe; Company employees transportation to and from work; Excursion transportation in Lithuania and Europe; Buses and minibuses for rent from 6 to 55 seats; Transport rental for holidays, weddings, charter trips, tours, excursions, VIP customer transportation; New...",https://rekvizitai.vz.lt/en/company/eisturas/
"Driveo, UAB",,,"Sandraugos g. 20, LT-52100 Kaunas",,,,,,,,,,"car rental; buses, minibuses for rent; tourism, travels, services; transportation","Company DescriptionDriveo – your efficient mobility partner in Lithuania. We provide short-term and long-term car rental services designed for growing businesses and individual clients.Our goal - is to offer a smart, simple, and flexible way to manage your fleet without commitments, bureaucracy, or hidden fees.Our...",https://rekvizitai.vz.lt/en/company/driveo/
"Baltic Forest Group, UAB",,,"Sedulų g. 2A-3, Bukiškis, LT-14183 Vilniaus r",,,,,,,,,,"forestry, forest goods; consulting services; firewood; transportation; wholesale; wood and its products","UAB Baltic Forest Group is a Lithuanian capital company, which has been operating in the forestry and roundwood trade sectors since 2007. Our trade links extend to Scandinavia, the Baltic region, and parts of Western Europe. We have successfully implemented a number of projects funded by the European Union...",https://rekvizitai.vz.lt/en/company/uab_baltic_forest_group/
"UAB ""BULLCARGO""",,,"Švepelių g. 3, LT-94103 Klaipėda",,,,,,,,,,"transportation; customs services, customs; export; freight forwarding; logistics services; warehouses",,https://rekvizitai.vz.lt/en/company/bullcargo/
"Litcargo, UAB",,,"Ukmergės g. 120-2, LT-08105 Vilnius",,,,,,,,,,"logistics services; customs services, customs; freight forwarding; transportation; warehouses",Litcargo's specialisation and strength is the partial freight service. Clients are offered regular routes with a specific day and time schedule without any limitation to the size of the freight and applying a fixed-price rate. The client does not have to worry about the transport to pick up the freight or its...,https://rekvizitai.vz.lt/en/company/uab_litcargo/
"UAB ""INTERMODAL CONTAINER SERVICE""",,,"Kirtimų g. 47, Vilnius",,,,,,,,,,"rail transport; customs services, customs; freight forwarding; logistics services; transportation",JSC „INTERMODAL CONTAINER SERVICE“ The main activities of our company are transportation of goods in marine containers by combined transport. The company is the operator of container trains VILNIUS SHUTTLE and CONTAINERSHIPS TRAIN. Associated member of the VIKING TRAIN project.„VILNIUS SHUTTLE“ – The container...,https://rekvizitai.vz.lt/en/company/uab_intermodal_container_service/
"Kauno Tarpininkai, UAB",,,"Medžiotojų g. 10, Naugardiškės k., Kauno r",,,,,,,,,,"customs services, customs; export; freight forwarding; import; logistics services; mediation; transportation; warehouses","CUSTOMS AGENTS
CUSTOMS PROCEDURES
STORAGE SERVICES
IMPORT OF LOADS
TRANSIT DECLARATION
CUSTOM TERMINALS
COMPLETION OF INTRASTAT REPORTS
COMPLETE CMR
OPENING THE TIR CARNET BOOK",https://rekvizitai.vz.lt/en/company/kauno_tarpininkai/
